Date, Price min, Price max
28-02-2022, 3.2, 4.6
23-02-2022, 4.0, 4.3
14-02-2022, 3.8, 5.0
24-01-2022, 3.5, 4.6
17-01-2022, 3.0, 4.0
11-01-2022, 3.1, 4.0
10-01-2022, 3.0, 4.0
04-01-2022, 3.8, 4.0
01-12-2021, 2.9, 4.0
29-11-2021, 3.0, 4.4
25-11-2021, 1.5, 3.6
15-11-2021, 1.5, 2.7
03-11-2021, 2.1, 2.8
11-10-2021, 1.2, 2.1
02-09-2021, 1.8, 2.2
26-08-2021, 2.0, 3.2
23-08-2021, 2.9, 3.5
09-08-2021, 2.8, 3.5
05-08-2021, 2.0, 2.7
02-08-2021, 2.0, 2.8
26-07-2021, 1.0, 2.4
23-07-2021, 1.0, 2.0
12-07-2021, 1.3, 1.7
05-07-2021, 1.3, 2.0
01-07-2021, 1.3, 1.6
30-06-2021, 1.1, 2.0
29-06-2021, 1.0, 2.0
22-06-2021, 1.3, 2.0
14-06-2021, 1.6, 2.2
03-06-2021, 1.2, 2.2
19-04-2021, 1.6, 2.5
06-04-2021, 1.8, 2.6
24-03-2021, 1.6, 2.7
16-03-2021, 1.6, 2.4
02-03-2021, 1.8, 2.7
02-02-2021, 2.6, 4.2
12-01-2021, 2.6, 3.3
04-01-2021, 2.1, 2.4
03-12-2020, 1.5, 2.1
03-11-2020, 2.2, 2.6
19-10-2020, 1.9, 2.2
01-10-2020, 1.2, 1.5
01-09-2020, 1.0, 2.0
03-08-2020, 0.8, 1.6
29-07-2020, 0.7, 1.6
17-07-2020, 0.6, 1.2
14-07-2020, 0.6, 1.3
08-07-2020, 0.8, 1.4
06-07-2020, 0.65, 1.6
03-07-2020, 1.0, 1.4
01-07-2020, 1.0, 1.5
11-06-2020, 1.6, 2.5
29-05-2020, 2.0, 2.7
20-03-2020, 1.9, 3.6
05-03-2020, 1.9, 3.5
24-02-2020, 2.6, 4.0
10-02-2020, 3.5, 4.3
13-12-2019, 1.8, 2.5
28-10-2019, 1.3, 1.6
05-10-2019, 2.0, 2.8
02-10-2019, 1.0, 1.8
16-08-2019, 1.2, 1.9
18-06-2019, 0.8, 1.3
04-06-2019, 1.0, 1.7
08-05-2019, 1.4, 2.0
05-04-2019, 1.8, 2.1
27-03-2019, 1.6, 2.0
13-03-2019, 2.2, 3.2
21-02-2019, 3.5, 4.2
31-01-2019, 2.5, 3.3
15-01-2019, 1.8, 3.0
13-12-2018, 1.9, 3.3
26-11-2018, 2.0, 3.3
15-11-2018, 1.9, 3.0
06-11-2018, 2.0, 2.3
18-10-2018, 1.6, 2.3
08-10-2018, 1.25, 1.6
25-09-2018, 1.3, 1.7
21-09-2018, 0.9, 1.7
10-09-2018, 1.2, 1.8
07-09-2018, 1.0, 1.5
03-09-2018, 0.9, 1.4
30-08-2018, 1.0, 1.3
27-08-2018, 0.8, 1.4
15-08-2018, 1.0, 1.5
13-08-2018, 1.0, 1.6
09-08-2018, 1.0, 1.8
02-08-2018, 1.0, 1.6
23-07-2018, 1.2, 2.0
18-07-2018, 1.6, 2.2
16-07-2018, 1.2, 2.2
13-07-2018, 1.2, 2.3
09-07-2018, 1.8, 2.3
26-06-2018, 1.0, 1.5
18-06-2018, 1.1, 1.5
11-06-2018, 1.0, 1.5
07-06-2018, 1.0, 1.6
04-06-2018, 0.9, 1.6
30-05-2018, 1.4, 2.2
08-05-2018, 2.0, 2.5
01-05-2018, 1.8, 3.1
23-04-2018, 1.4, 3.1
20-04-2018, 1.7, 3.1
16-04-2018, 1.8, 3.1
04-04-2018, 3.1, 4.0
31-03-2018, 2.2, 3.0
20-03-2018, 1.8, 2.3
13-03-2018, 1.6, 2.1
07-03-2018, 2.0, 3.3
26-02-2018, 3.0, 3.9
21-02-2018, 2.5, 4.0
06-02-2018, 3.0, 3.9
30-01-2018, 2.5, 3.9
12-01-2018, 2.1, 2.5
09-01-2018, 2.2, 2.8
28-12-2017, 2.5, 3.4
15-12-2017, 2.3, 3.0
01-12-2017, 2.3, 3.3
24-11-2017, 1.3, 2.9
16-11-2017, 1.3, 2.3
10-11-2017, 1.2, 2.4
07-11-2017, 1.3, 2.4
30-10-2017, 1.3, 2.0
10-10-2017, 1.7, 2.2
04-10-2017, 1.5, 1.7
28-09-2017, 1.0, 1.4
25-09-2017, 1.0, 1.6
21-09-2017, 1.0, 1.5
18-09-2017, 1.0, 2.5
11-09-2017, 1.6, 2.0
05-09-2017, 1.5, 2.6
29-08-2017, 2.3, 2.6
23-08-2017, 1.5, 2.1
17-08-2017, 0.7, 1.8
08-08-2017, 0.9, 1.8
02-08-2017, 1.2, 1.7
31-07-2017, 0.8, 1.4
25-07-2017, 1.0, 1.6
19-07-2017, 0.5, 1.4
14-07-2017, 0.8, 1.4
09-07-2017, 0.7, 1.2
28-06-2017, 0.8, 1.4
26-06-2017, 0.9, 1.2
22-06-2017, 0.7, 1.2
19-06-2017, 0.8, 1.4
12-06-2017, 0.9, 1.5
08-06-2017, 1.0, 1.5
05-06-2017, 1.0, 1.5
01-06-2017, 0.8, 1.6
15-05-2017, 1.0, 1.8
09-05-2017, 1.3, 2.0
05-05-2017, 1.3, 2.0
28-04-2017, 1.2, 2.2
24-04-2017, 1.5, 2.4
13-04-2017, 1.5, 2.6
05-04-2017, 1.2, 2.4
30-03-2017, 1.0, 2.8
22-03-2017, 1.5, 3.5
21-03-2017, 1.5, 3.1
17-03-2017, 1.7, 3.4
14-03-2017, 1.5, 3.8
06-03-2017, 3.0, 3.8
21-02-2017, 3.0, 4.4
16-02-2017, 3.0, 4.5
14-02-2017, 4.0, 4.5
09-02-2017, 3.0, 4.5
06-02-2017, 3.0, 4.5
01-02-2017, 3.2, 3.7
23-01-2017, 3.5, 4.0
19-01-2017, 3.3, 4.3
17-01-2017, 2.8, 4.3
09-01-2017, 4.0, 4.5
29-12-2016, 3.8, 4.5
22-12-2016, 3.2, 4.0
12-12-2016, 2.8, 3.6
15-11-2016, 1.8, 2.4
08-11-2016, 1.5, 2.2
17-10-2016, 0.8, 1.7
19-09-2016, 1.0, 1.3
11-09-2016, 1.2, 1.5
10-08-2016, 1.2, 1.8
08-08-2016, 1.6, 2.0
03-08-2016, 1.6, 2.0
22-07-2016, 1.5, 1.8
20-07-2016, 1.5, 2.0
19-07-2016, 1.5, 2.1
18-07-2016, 1.6, 2.2
14-07-2016, 1.5, 2.4
11-07-2016, 1.5, 2.5
07-07-2016, 1.0, 1.6
04-07-2016, 1.0, 1.4
01-07-2016, 1.1, 1.3
29-06-2016, 0.6, 1.3
22-06-2016, 1.0, 1.4
20-06-2016, 1.1, 1.4
17-06-2016, 1.1, 1.6
14-06-2016, 1.0, 1.6
13-06-2016, 1.3, 1.6
09-06-2016, 1.0, 1.3
08-06-2016, 1.0, 1.5
06-06-2016, 1.0, 1.7
02-06-2016, 1.1, 1.7
01-06-2016, 1.2, 1.7
30-05-2016, 1.3, 1.8
04-05-2016, 1.5, 2.3
25-04-2016, 1.7, 2.2
15-04-2016, 1.4, 1.7
12-04-2016, 1.3, 1.9
30-03-2016, 1.5, 2.2
24-03-2016, 1.6, 2.2
17-03-2016, 1.6, 2.4
01-03-2016, 1.7, 3.5
22-02-2016, 3.0, 3.6
16-02-2016, 3.0, 3.5
09-02-2016, 3.0, 3.4
22-01-2016, 1.4, 1.9
19-01-2016, 1.5, 1.8
12-01-2016, 1.7, 1.9
04-01-2016, 2.0, 2.2
16-12-2015, 1.7, 2.1
14-12-2015, 1.7, 2.2
08-12-2015, 1.4, 1.7
01-12-2015, 1.6, 2.0
23-11-2015, 2.0, 3.0
04-11-2015, 2.0, 3.1
28-10-2015, 1.6, 2.4
20-10-2015, 1.2, 1.8
05-10-2015, 1.1, 1.7
28-09-2015, 0.8, 1.4
25-09-2015, 0.8, 1.6
23-09-2015, 1.2, 1.8
16-09-2015, 1.2, 2.6
08-09-2015, 2.0, 2.4
04-09-2015, 2.2, 2.6
01-09-2015, 2.0, 2.4
27-08-2015, 1.5, 2.3
25-08-2015, 1.0, 2.5
24-08-2015, 2.0, 2.5
18-08-2015, 2.2, 2.6
13-08-2015, 2.0, 2.6
12-08-2015, 2.0, 2.4
10-08-2015, 2.0, 2.2
06-08-2015, 1.8, 2.0
04-08-2015, 1.7, 2.0
29-07-2015, 0.9, 1.5
27-07-2015, 0.7, 1.3
22-07-2015, 0.5, 1.2
16-07-2015, 0.8, 1.0
13-07-2015, 0.8, 1.1
08-07-2015, 0.6, 1.1
07-07-2015, 0.8, 1.1
16-06-2015, 0.8, 1.2
12-06-2015, 0.8, 1.4
09-06-2015, 1.0, 1.4
01-06-2015, 1.2, 1.45
28-05-2015, 1.0, 1.5
25-05-2015, 1.0, 1.6
20-05-2015, 1.1, 1.6
14-05-2015, 1.0, 1.6
13-05-2015, 1.1, 1.5
12-05-2015, 1.1, 1.7
11-05-2015, 1.0, 1.6
07-05-2015, 1.0, 1.8
04-05-2015, 1.6, 1.8
28-04-2015, 1.4, 1.7
27-04-2015, 1.5, 1.8
23-04-2015, 2.0, 2.8
15-04-2015, 2.8, 2.9
10-04-2015, 2.0, 3.3
07-04-2015, 2.8, 3.3
06-04-2015, 2.7, 3.2
03-04-2015, 2.3, 2.7
01-04-2015, 2.0, 2.3
30-03-2015, 1.6, 2.4
27-03-2015, 1.8, 2.3
26-03-2015, 2.0, 2.3
25-03-2015, 1.8, 2.5
23-03-2015, 2.0, 2.5
18-03-2015, 2.0, 3.2
11-03-2015, 2.8, 4.1
04-03-2015, 3.3, 3.7
23-02-2015, 3.6, 4.0
16-02-2015, 3.4, 4.0
06-02-2015, 2.7, 3.5
04-02-2015, 2.7, 3.6
02-02-2015, 2.6, 3.0
29-01-2015, 2.4, 2.6
21-01-2015, 2.3, 2.6
16-01-2015, 2.0, 3.6
13-01-2015, 1.8, 2.2
06-01-2015, 1.6, 1.8
30-12-2014, 1.8, 2.0
18-12-2014, 1.5, 2.7
09-12-2014, 1.5, 2.2
05-12-2014, 1.5, 2.8
27-11-2014, 1.6, 2.0
25-11-2014, 1.8, 2.0
24-11-2014, 1.8, 1.9
18-11-2014, 1.9, 2.1
14-11-2014, 2.1, 2.4
10-11-2014, 2.0, 2.6
04-11-2014, 2.0, 2.6
28-10-2014, 2.0, 2.4
20-10-2014, 1.6, 2.2
14-10-2014, 1.3, 1.4
06-10-2014, 1.0, 1.3
26-09-2014, 0.9, 1.2
25-09-2014, 0.9, 1.5
15-09-2014, 1.0, 1.4
08-09-2014, 0.9, 1.2
26-08-2014, 1.1, 1.3
18-08-2014, 0.8, 1.2
11-08-2014, 0.8, 1.4
04-08-2014, 1.2, 1.5
30-07-2014, 1.2, 1.6
25-07-2014, 1.6, 1.9
22-07-2014, 1.8, 2.0
21-07-2014, 1.0, 1.8
15-07-2014, 0.8, 1.1
07-07-2014, 1.0, 1.3
01-07-2014, 1.2, 1.4
24-06-2014, 0.7, 1.3
12-06-2014, 1.2, 1.5
29-05-2014, 0.8, 1.2
28-05-2014, 0.85, 1.4
27-05-2014, 1.1, 1.4
26-05-2014, 1.1, 1.6
22-05-2014, 1.0, 1.4
21-05-2014, 1.0, 1.0
19-05-2014, 1.1, 1.6
15-05-2014, 1.0, 1.5
14-05-2014, 1.3, 1.5
13-05-2014, 1.0, 1.6
12-05-2014, 1.45, 1.6
09-05-2014, 1.0, 1.7
07-05-2014, 1.1, 1.7
30-04-2014, 1.4, 2.0
29-04-2014, 1.4, 2.0
28-04-2014, 1.5, 2.0
25-04-2014, 1.4, 2.0
24-04-2014, 1.4, 2.2
23-04-2014, 2.0, 2.3
22-04-2014, 2.0, 2.4
17-04-2014, 2.1, 2.2
16-04-2014, 1.9, 2.1
15-04-2014, 1.8, 2.1
14-04-2014, 1.8, 2.0
08-04-2014, 1.4, 1.6
07-04-2014, 1.2, 1.6
04-04-2014, 1.2, 1.7
03-04-2014, 1.2, 1.8
01-04-2014, 1.4, 1.8
28-03-2014, 1.7, 2.0
24-03-2014, 2.0, 2.2
19-03-2014, 2.0, 3.0
17-03-2014, 2.3, 3.0
14-03-2014, 2.3, 3.2
13-03-2014, 2.5, 3.3
11-03-2014, 2.4, 3.1
05-03-2014, 2.8, 3.5
04-03-2014, 2.8, 3.6
26-02-2014, 3.2, 3.9
24-02-2014, 2.6, 3.8
21-02-2014, 3.0, 4.0
19-02-2014, 3.0, 4.2
17-02-2014, 3.3, 4.1
14-02-2014, 3.6, 4.1
12-02-2014, 3.7, 4.0
10-02-2014, 3.0, 3.7
05-02-2014, 3.0, 3.5
03-02-2014, 3.0, 3.8
31-01-2014, 3.3, 3.7
30-01-2014, 3.0, 3.5
27-01-2014, 2.8, 3.6
24-01-2014, 3.0, 3.6
22-01-2014, 2.8, 3.8
20-01-2014, 2.4, 3.8
15-01-2014, 2.0, 2.7
13-01-2014, 1.7, 2.4
10-01-2014, 2.0, 2.7
06-01-2014, 2.0, 2.5
